region,p
Left-Hippocampus,0.05419252942945317
Left-Amygdala,0.09534473328887749
Left-Thalamus,0.240270718666311
Left-Accumbens-area,0.27244704890936144
Left-Parahippocampal_and_ambient_gyri,0.39981760829971197
Left-Temporal_lobe,0.4286591088649577
Left-Putamen,0.4790915245644224
Left-Gyrus_rectus,0.6279665175522081
Left-Inferolateral_remainder_of_parietal_lobe,0.650415572131497
Left-Lateral_remainder_of_occipital_lobe,0.650415572131497
Left-Insula,0.6901015433281529
Left-Gyrus_cinguli_anterior_part,0.7166120679281724
Left-Orbitofrontal_gyri,0.7363966450816182
Left-Lingual_gyrus,0.7660260951452597
Left-Gyrus_cinguli_posterior_part,0.7911363495005891
Left-Middle_frontal_gyrus,0.8318024289589285
Left-Superior_parietal_gyrus,0.8402294970668919
Left-Caudate,0.8756561282032016
Left-Postcentral_gyrus,0.9081060282487572
Left-Superior_frontal_gyrus,0.9164942008640125
Left-Precentral_gyrus,0.9377870191073474
Left-Inferior_frontal_gyrus,0.9468250937722577
Right-Hippocampus,0.05419252942945317
Right-Amygdala,0.09534473328887749
Right-Thalamus,0.240270718666311
Right-Accumbens-area,0.27244704890936144
Right-Parahippocampal_and_ambient_gyri,0.39981760829971197
Right-Temporal_lobe,0.4286591088649577
Right-Putamen,0.4790915245644224
Right-Gyrus_rectus,0.6279665175522081
Right-Inferolateral_remainder_of_parietal_lobe,0.650415572131497
Right-Lateral_remainder_of_occipital_lobe,0.650415572131497
Right-Insula,0.6901015433281529
Right-Gyrus_cinguli_anterior_part,0.7166120679281724
Right-Orbitofrontal_gyri,0.7363966450816182
Right-Lingual_gyrus,0.7660260951452597
Right-Gyrus_cinguli_posterior_part,0.7911363495005891
Right-Middle_frontal_gyrus,0.8318024289589285
Right-Superior_parietal_gyrus,0.8402294970668919
Right-Caudate,0.8756561282032016
Right-Postcentral_gyrus,0.9081060282487572
Right-Superior_frontal_gyrus,0.9164942008640125
Right-Precentral_gyrus,0.9377870191073474
Right-Inferior_frontal_gyrus,0.9468250937722577
